iter	Passed	Remaining
664	9909	2011
665	9926	1997
666	9938	1981
667	9953	1966
668	9967	1951
669	9983	1937
670	9997	1922
671	10013	1907
672	10027	1892
673	10042	1877
674	10057	1862
675	10073	1847
676	10086	1832
677	10102	1817
678	10114	1802
679	10127	1787
680	10144	1772
681	10164	1758
682	10181	1744
683	10197	1729
684	10213	1714
685	10225	1699
686	10241	1684
687	10256	1669
688	10265	1653
689	10283	1639
690	10295	1624
691	10312	1609
692	10329	1594
693	10339	1579
694	10353	1564
695	10373	1550
696	10396	1536
697	10411	1521
698	10427	1506
699	10443	1491
700	10461	1477
701	10481	1463
702	10503	1449
703	10520	1434
704	10536	1419
705	10552	1405
706	10565	1389
707	10586	1375
708	10599	1360
709	10614	1345
710	10637	1331
711	10660	1317
712	10677	1302
713	10689	1287
714	10708	1273
715	10725	1258
716	10740	1243
717	10760	1228
718	10772	1213
719	10793	1199
720	10815	1185
721	10847	1171
722	10895	1160
723	10924	1146
724	10945	1132
725	10962	1117
726	11002	1104
727	11015	1089
728	11028	1074
729	11045	1059
730	11064	1044
731	11084	1029
732	11098	1014
733	11117	999
734	11132	984
735	11148	969
736	11165	954
737	11179	939
738	11198	924
739	11213	909
740	11232	894
741	11246	879
742	11257	863
743	11271	848
744	11288	833
745	11301	818
746	11315	802
747	11327	787
748	11342	772
749	11352	756
750	11370	741
751	11384	726
752	11397	711
753	11415	696
754	11430	681
755	11445	666
756	11464	651
757	11481	636
758	11500	621
759	11515	606
760	11531	590
761	11545	575
762	11562	560
763	11573	545
764	11595	530
765	11610	515
766	11626	500
767	11643	485
768	11659	470
769	11679	455
770	11697	439
771	11714	424
772	11732	409
773	11750	394
774	11769	379
775	11778	364
776	11795	349
777	11812	334
778	11832	318
779	11848	303
780	11863	288
781	11880	273
782	11897	258
783	11912	243
784	11924	227
785	11942	212
786	11959	197
787	11976	182
788	11993	167
789	12009	152
790	12024	136
791	12040	121
792	12063	106
793	12080	91
794	12101	76
795	12117	60
796	12128	45
797	12139	30
798	12154	15
799	12169	0
